sr	ru	words	sr_id
Treba nam novac.	Нам нужны деньги.	3	3306716
Treba nam papir.	Нам нужна бумага.	3	4983285
Treba ti hobi.	Тебе нужно хобби.	3	6593654
Treba ti novac.	Тебе нужны деньги.	3	5594067
Treba ti ovo.	Тебе это нужно.	3	3531366
Tri sladoleda, molim.	Три мороженых, пожалуйста.	3	3251028
Trčaćemo u parku.	Мы будем бегать в парке.	3	4253910
U Rimu sam.	Я в Риме.	3	6169162
Udobno mi je.	Мне удобно.	3	4999317
Uradi to sada!	Сделай это сейчас!	3	3304430
Usamljenost je strašna.	Одиночество ужасно.	3	3374224
Usput, gde živiš?	Кстати, где ты живешь?	3	3311332
Uvek govori istinu.	Всегда говори правду.	3	3334401
Uvek idem autobusom.	Я всегда езжу на автобусе.	3	4324416
Uvek imamo izbor.	У нас всегда есть выбор.	3	4256597
Učim nekoliko jezika.	Я изучаю несколько языков.	3	4248097
Učitelj čita knjigu.	Учитель читает книгу.	3	3440640
Veoma si lep.	Ты очень красивый.	3	4967424
Veoma si lepa.	Ты очень красивая.	3	4967423
Veoma ste lepi.	Вы очень красивые.	3	4967425
Veruj u ljubav!	Верь в любовь!	3	3486051
Veruj u sebe!	Верь в себя!	3	5626447
Veruj, ali proveri!	Доверяй, но проверяй!	3	6546932
Već imam konvertu.	У меня уже есть конверт.	3	3245696
Već sam odabrao.	Я уже выбрал.	3	6303073
Večera je spremna!	Ужин готов!	3	4995944
Vi ste ludi.	Вы сумасшедшие.	3	3650821
Videla sam autobus.	Я видела автобус.	3	5841815
Videla sam mačku.	Я видела кошку.	3	5841810
Videla sam miša.	Я видела мышь.	3	5841829
Video sam autobus.	Я видел автобус.	3	5841814
Video sam mačku.	Я видел кошку.	3	5841809
Video sam miša.	Я видел мышь.	3	5841826
Video sam zmiju.	Я видел змею.	3	5841818
Vidimo se kasnije!	До скорого!	3	3384160
Vidimo se kasnije!	Увидимся.	3	3384160
Vidimo se kasnije!	Увидимся позже.	3	3384160
Vidimo se sutra.	Увидимся завтра.	3	886007
Vidiš li to?	Ты это видишь?	3	3246664
Vodiš li dnevnik?	Ты ведёшь дневник?	3	3340835
Voli me sutra!	Люби меня завтра!	3	3334730
Volim Norveški jezik.	Я люблю норвежский язык.	3	3340822
Volim Oksitanski jezik.	Я люблю окситанский язык.	3	3334453
Volim analni seks.	Я люблю анальный секс.	3	3350457
Volim crnu čokoladu.	Я люблю тёмный шоколад.	3	3424915
Volim kratku kosu.	Я люблю короткие волосы.	3	3291895
Volim norveško leto.	Я люблю норвежское лето.	3	3477911
Volim norvešku prirodu.	Я люблю норвежскую природу.	3	3477958
Volim norvešku zimu.	Я люблю норвежскую зиму.	3	3438003
Volim ovaj restoran.	Я люблю этот ресторан.	3	3440957
Volim ovu pesmu.	Я люблю эту песню.	3	2763043
Volim ovu školu.	Я люблю эту школу.	3	3430868
Volim takve momente.	Я люблю такие моменты.	3	3474263
Volim vas oboje.	Я люблю вас обоих.	3	5848232
Volim šum mora.	Я люблю шум моря.	3	3535436
Voliš li golf?	Ты любишь гольф?	3	3302967
Voliš li kostime?	Ты любишь костюмы?	3	4246853
Vozim te kući.	Я отвезу тебя домой.	3	3429914
Vrlo si hrabar.	Ты очень храбрый.	3	3426505
Zatvoreno zbog renoviranja.	Закрыто из-за ремонтных работ.	3	5411004
Zatvoreno zbog renoviranja.	Закрыто на ремонт.	3	5411004
Zatvori oči, Tome.	Закрой глаза, Том.	3	4449658
Zavisi od situacije.	Зависит от ситуации.	3	3476229
Zašto baš ja?	Почему я?	3	6314414
Zašto mi radimo?	Зачем мы работаем?	3	3484693
Zašto sam ovde?	Почему я здесь?	3	4324468
Zašto sam ovde?	Для чего я здесь?	3	4324468
Zašto tako mislite?	Почему вы так думаете?	3	5990940
Zašto to misliš?	Почему ты так думаешь?	3	5990937
Zašto uvek ja?	Почему всегда я?	3	924317
Zemlja je planeta.	Земля - это планета.	3	3366101
Zemlja je planeta.	Земля - планета.	3	3366101
Zidovi imaju uši.	У стен есть уши.	3	3299042
Zidovi su beli.	Стены белые.	3	3475741
Znam ti lice.	Я знаю твоё лицо.	3	4992857
Znam ti lice.	Мне знакомо твоё лицо.	3	4992857
Znam tvoje ime.	Я знаю твоё имя.	3	3426493
Znam tvoje lice.	Я знаю твоё лицо.	3	4992856
Znam tvoje lice.	Мне знакомо твоё лицо.	3	4992856
Znam šta misliš.	Я знаю, что ты думаешь.	3	3425224
Znate li arapski?	Вы знаете арабский?	3	3440842
Znaš li Engleski?	Ты знаешь английский?	3	3263527
Znaš li Francuski?	Ты знаешь французский?	3	3318259
Znaš li Latinski?	Ты знаешь латинский?	3	3341484
Zvala se Marija.	Её звали Мария.	3	4434774
Čašu vode, molim.	Стакан воды, пожалуйста.	3	3318074
Čeka te pakao.	Гореть тебе в аду.	3	3437600
Čestitam ti rođendan.	Поздравляю тебя с днём рождения.	3	870439
Čije je ovo?	Чьё это?	3	3281750
Čitaš nešto zanimljivo?	Что-то интересное читаешь?	3	5990980
Šetali smo parkom.	Мы гуляли по парку.	3	5043452
Škola nalikuje zatvoru.	Школа похожа на тюрьму.	3	3243986
Škole su zatvorene.	Школы закрыты.	3	3390824
Šta ima novo?	Что нового?	3	2332060
Šta imate tamo?	Что у вас там?	3	4258333
Šta imaš tamo?	Что у тебя там?	3	4258332
Šta je ovo?	Что это?	3	3384176
Šta je problem?	В чем проблема?	3	3650921
Šta je sreća?	Что такое счастье?	3	3440313
Šta je to?	Что это?	3	2057027
Šta je umetnost?	Что такое искусство?	3	4238036
Šta je umetnost?	Что есть искусство?	3	4238036
Šta krijete sada?	Что вы сейчас прячете?	3	4967395
Šta ona pije?	Что она пьёт?	3	4243506
Šta pije Tom?	Что пьёт Том?	3	4245958
Šta pije ona?	Что она пьёт?	3	4243507
Šta proučava sovjetolog?	Что изучает советолог?	3	3434472
Šta sada radiš?	Что ты сейчас делаешь?	3	5778950
Šta se desilo?	Что случилось?	3	5003686
Šta se dogodilo?	Что случилось?	3	5003687
Šta si jeo?	Что ты ел?	3	3434926
Šta si odgovorio?	Что ты ответил?	3	3318211
Šta si radila?	Что ты делала?	3	4258321
Šta si radio?	Что ты делал?	3	4258320
Šta si rekao?	Что ты сказал?	3	3440707
Šta si sakrio?	Что ты спрятал?	3	3347551
Šta ti fali?	Чего тебе не хватает?	3	3418978
Šta ti je?	Кто ты?	3	891936
Šta ti misliš?	Что ты думаешь?	3	3301071
Šta ti smeta?	Что тебе мешает?	3	3418546
Šta to znači?	Что это значит?	3	3362008
Šta znači "onkologija"?	Что означает "онкология"?	3	3650876
Šta žene žele?	Чего хотят женщины?	3	5874247
Žao mi je.	Мне жаль.	3	3382610
Žao mi je.	Извините.	3	3382610
Žao mi je.	Извините меня.	3	3382610
Žao mi je.	Сожалею.	3	3382610
Žena jede hleb.	Женщина ест хлеб.	3	3430710
Živeću u Kambodži.	Я буду жить в Камбодже.	3	2763110
Živim u Indoneziji.	Я живу в Индонезии.	3	4292449
Živim u Moldovi.	Я живу в Молдове.	3	3484216
Živim u stanu.	Я живу в квартире.	3	3402679
Živimo u kući.	Мы живём в доме.	3	3333561
Život je kratak.	Жизнь коротка.	3	4649511
Život se nastavlja!	Жизнь продолжается!	3	5894339
"Koliko imaš godina?" "Šesnaest."	"Сколько тебе лет?" - "Шестнадцать".	4	4995349
A ko si ti?	А ты кто?	4	4243554
A ti, šta radiš?	А ты, что делаешь?	4	5919193
Ali ja želim automobil.	Но я хочу автомобиль.	4	3313570
Alkohol ne rešava probleme.	Алкоголь не решает проблемы.	4	3425432
Ana veoma voli muziku.	Анна очень любит музыку.	4	3356490
Avion ide tako brzo!	Самолёт движется так быстро!	4	3355823
Banka ne radi nedeljom.	Банк не работает в воскресенье.	4	3366622
Barak Obama je hrišćanin.	Барак Обама - христианин.	4	3429874
Beli suncobran je tvoj.	Белый зонтик от солнца - твой.	4	3484266
Bez upornosti nema uspeha.	Без упорства не бывает успеха.	4	5588831
Bila je luda godina.	Это был сумасшедший год.	4	5028935
Bila je odlična godina.	Это был отличный год.	4	5028936
Bila je velika eksplozija.	Был большой взрыв.	4	4971893
Bili smo dobri prijatelji.	Мы были хорошими друзьями.	4	3373365
Bilo je oko deset.	Было около десяти.	4	3359302
Bilo je vrlo vetrovito.	Было очень ветрено.	4	3650968
Bio je dobar dan.	Хороший был день.	4	4238281
Bio je dobar dan.	Это был хороший день.	4	4238281
Bio je veliki uspeh.	Это был большой успех.	4	6567930
Bio sam u Rimu.	Я был в Риме.	4	3318254
Bio sam u banci.	Я был в банке.	4	3366632
Bio sam u bioskopu.	Я был в кино.	4	3306669
Bob je moj prijatelj.	Боб — мой друг.	4	3334517
Boston je prelep grad.	Бостон — прекрасный город.	4	3410296
Braon šešir je star.	Коричневая шляпа старая.	4	3440806
Britanci su pobedili Francuze.	Британцы победили французов.	4	3356184
Brod je promenio kurs.	Корабль изменил курс.	4	3282406
Budućnost zavisi od nas.	Будущее зависит от нас.	4	5396810
Cirkus je u gradu.	Цирк в городе.	4	3268141
Da li govorite engleski?	Вы говорите по-английски?	4	3382590
Da li govorite italijanski?	Вы говорите по-итальянски?	4	2057033
Da li govoriš kineski?	Ты говоришь по-китайски?	4	6169165
Da li idemo kući?	Мы идём домой?	4	4333665
Da li igrate fudbal?	Вы играете в футбол?	4	4273336
Da li imam nož?	У меня есть нож?	4	6567914
Da li imate pitanja?	У вас есть вопросы?	4	3284644
Da li imate psa?	У вас есть собака?	4	4784590
Da li imaš blog?	У тебя есть блог?	4	2499655
Da li imaš jedan?	У тебя есть один?	4	3426497
Da li imaš jedno?	У тебя есть одно?	4	3426499
Da li imaš jednu?	У тебя есть одна?	4	3426498
Da li imaš nekog?	У тебя кто-то есть?	4	3357515
Da li imaš olovku?	У тебя есть карандаш?	4	3295021
Da li imaš plan?	У тебя есть план?	4	3284640
Da li imaš psa?	У тебя есть собака?	4	4784589
Da li imaš rečnik?	У тебя есть словарь?	4	3425433
Da li imaš rešenje?	У тебя есть решение?	4	800081
Da li je tamo?	Это там?	4	3402173
Da li je tamo?	Она там?	4	3402173
Da li je tamo?	Он там?	4	3402173
Da li je tamo?	Оно там?	4	3402173
Da li me voli?	Он меня любит?	4	6147463
Da li me voli?	Она меня любит?	4	6147463
Da li me voliš?	Ты меня любишь?	4	3470325
Da li si dobro?	Ты в порядке?	4	3478062
Da li si gladan?	Ты голоден?	4	3384112
Da li si gledao?	Ты смотрел?	4	4258409
Da li si ručala?	Ты обедала?	4	4261846
Da li si ručao?	Ты обедал?	4	4261845
Da li si spavala?	Ты спала?	4	4258414
Da li si spavao?	Ты спал?	4	4258413
Da li si spreman?	Ты готов?	4	3417982
Da li si umoran?	Ты устал?	4	3384127
Da li si zauzet?	Ты занят?	4	941202
Da li ste spremni?	Вы готовы?	4	3318091
Da li voliš kostime?	Ты любишь костюмы?	4	4246854
Da li voliš muziku?	Ты любишь музыку?	4	3287631
Da li zahtevam previše?	Я слишком многого требую?	4	4324510
Da li zahtevam previše?	Я слишком много требую?	4	4324510
Da li znaš Kineski?	Ты знаешь китайский?	4	3311760
Da li živiš ovde?	Ты живёшь здесь?	4	3318107
Daj mi moje naočare.	Дай мне мои очки.	4	3304309
Daj mi tu knjigu.	Дай мне ту книгу.	4	3412949
Daj mi tu knjigu.	Подай мне ту книгу.	4	3412949
Danas je jak vetar.	Сегодня сильный ветер.	4	3314417
Danas je strašno hladno.	Сегодня ужасно холодно.	4	3314317
Danas je tako vruće!	Сегодня так жарко!	4	3248244
Danas je veoma vruće.	Сегодня очень жарко.	4	3371626
Danas nisam kročio napolje.	Я сегодня не выходил на улицу.	4	4782975
Daću ti jednu knjigu.	Я дам тебе одну книгу.	4	3307026
Decembar ima 31 dan.	В декабре 31 день.	4	3305848
Devojka je medicinska sestra.	Девушка - медицинская сестра.	4	3245175
Dobio je prvu nagradu.	Он получил первую награду.	4	3340721
Dobro jutro. Kako si?	Доброе утро. Как ты?	4	5991026
Dobro, kao i uvek.	Хорошо, как и всегда.	4	5806618
Dobrodošao u San Francisko.	Добро пожаловать в Сан-Франциско.	4	3402130
Dođi i pomozi mi.	Иди и помоги мне.	4	6968725
Dođi i pomozi mi.	Приходи и помоги мне.	4	6968725
Došli smo po tebe.	Мы пришли за тобой.	4	4253864
Došli smo po vas.	Мы пришли за вами.	4	4253865
Dugujem ti deset dolara.	Я должен тебе десять долларов.	4	3425059
Džon živi u Njujorku.	Джон живет в Нью-Йорке.	4	3288346
Emili je napisala rečenicu.	Эмили написала предложение.	4	3340833
Eto šta se dešava.	Вот что происходит.	4	4259757
Evo šta ja mislim.	Вот что я думаю.	4	5002291
Filipini su u Aziji.	Филиппины в Азии.	4	3478830
Gde ide ovaj voz?	Куда идёт этот поезд?	4	3248254
Gde je moj sat?	Где мои часы?	4	3425863
Gde je moja knjiga?	Где моя книга?	4	3391152
Gde je moja lopta?	Где мой мяч?	4	4339804
Gde je moja soba?	Где моя комната?	4	5919200
Gde je najbliža banka?	Где ближайший банк?	4	3263603
Gde je tvoj otac?	Где твой отец?	4	3384150
Gde je tvoj prijatelj?	Где твой друг?	4	3380092
Gde je tvoj računar?	Где твой компьютер?	4	3357160
Gde je tvoja škola?	Где твоя школа?	4	3306998
Gde mi je kofer?	Где мой чемодан?	4	4243524
Gde mi je lopta?	Где мой мяч?	4	4339803
Gde mi je četka?	Где моя щётка?	4	3360356
Gde sam ga stavila?	Куда я его поставила?	4	4449846
Gde sam ga stavila?	Куда я его положила?	4	4449846
Gde sam ga stavio?	Куда я его положил?	4	4449844
Gde sam ga stavio?	Куда я его поставил?	4	4449844
Gde sam je stavila?	Куда я её положила?	4	4449847
Gde sam je stavila?	Куда я её поставила?	4	4449847
Gde sam je stavio?	Куда я её положил?	4	4449845
Gde sam je stavio?	Куда я её поставил?	4	4449845
Gde se sada nalazimo?	Где мы сейчас находимся?	4	5843311
Gde se sada nalaziš?	Где ты сейчас находишься?	4	5843306
Gde si ih video?	Где ты их видел?	4	3438991
Gde si je video?	Где ты её видел?	4	888471
Gde si je video?	Где ты его видел?	4	888471
Gde si kupila cipele?	Где ты купила туфли?	4	899012
Gde si kupio cipele?	Где ты купил туфли?	4	899013
Gde si naučio engleski?	Где ты выучил английский?	4	5945091
Gde si našao ključeve?	Где ты нашёл ключи?	4	4246030
Gde si našla ključeve?	Где ты нашла ключи?	4	4246032
Gde si pronašao ključeve?	Где ты нашёл ключи?	4	4246031
Gde si se sakrio?	Где ты спрятался?	4	6311723
Gde si videla Toma?	Где ты видела Тома?	4	4246055
Gde si video Toma?	Где ты видел Тома?	4	4246054
Gde su naši kišobrani?	Где наши зонты?	4	3430713
Gde su tvoje stvari?	Где твои вещи?	4	3292434
Gde ti je prijatelj?	Где твои друзья?	4	3360357
Gde ćeš da studiraš?	Где ты будешь учиться?	4	2993057
Gde želiš da sediš?	Где ты хочешь сидеть?	4	3331315
Gde živi tvoj deda?	Где живёт твой дед?	4	3425516
Gde živi tvoj deda?	Где живёт твой дедушка?	4	3425516
Gde živi tvoj ujak?	Где живет твой дядя?	4	3425158
Gladan sam kao vuk.	Я голоден как волк.	4	3282895
Gledam televiziju ceo dan.	Я весь день смотрю телевизор.	4	888639
Gledam televiziju ceo dan.	Я целый день смотрю телевизор.	4	888639
Gledam, ali ne vidim.	Я смотрю, но не вижу.	4	6550990
Gledao sam jutros TV.	Сегодня утром я смотрел телевизор.	4	3364068
Gorela je od ljubomore.	Она сгорала от ревности.	4	3392077
Grešim li ja ikad?	Я когда-нибудь ошибаюсь?	4	4324453
Grešim li ja ikada?	Я когда-нибудь ошибаюсь?	4	4324458
Hajde da budemo prijatelji.	Давай будем друзьями.	4	3599415
Hajde da popijemo nešto.	Пойдём чего-нибудь выпьем.	4	4246002
Hajde da probamo nešto.	Давайте что-нибудь попробуем.	4	3292799
Hajde da promenimo temu.	Давайте изменим тему.	4	6583434
Hajde da ručamo ovde.	Давай здесь пообедаем.	4	4253530
Hijena je divlja životinja.	Гиена - дикое животное.	4	12682148
Hjustone, imali smo problem.	Хьюстон, у нас была проблема.	4	6059324
Holandija je mala zemlja.	Голландия — маленькая страна.	4	3250716
Hoćeš li malo kajgane?	Хочешь немножко яичницы?	4	3439089
Hoćeš li sa nama?	Хочешь с нами?	4	3418721
Hoću da imam MP3-plejer!	Я хочу MP3-плейер!	4	3371536
Hvala ti mnogo, Tome.	Большое тебе спасибо, Том.	4	5029110
I da, i ne.	И да и нет.	4	5944927
I ja sam učitelj.	И я учитель.	4	3439331
I ja tako mislim.	И я так думаю.	4	6580728
Idemo tamo svi zajedno.	Мы идём туда все вместе.	4	3470165
Idemo u tržni centar.	Мы идём в торговый центр.	4	3395350
Idi pričaj s Tomom.	Иди поговори с Томом.	4	4324595
Ili Cezar ili ništa.	Или Цезарь, или ничего.	4	5809523
Ili Cezar ili ništa.	Или Цезарь, или ничто.	4	5809523
Ima li Tom ključ?	У Тома есть ключ?	4	4251066
Ima li kraja ovome?	Есть ли конец этому?	4	13395088
Ima mnogo neiskrenih ljudi.	Есть много неискренних людей.	4	3484082
Imam alergiju na mleko.	У меня аллергия на молоко.	4	3484163
Imam još dva pitanja.	У меня ещё два вопроса.	4	3366327
Imam još dva pitanja.	У меня есть ещё два вопроса.	4	3366327
Imam kamen u cipeli.	У меня камень в туфле.	4	4239860
Imam mačku i psa.	У меня есть кошка и собака.	4	3307023
Imam mnogo da radim.	Мне много чего нужно сделать.	4	3438758
Imam mnogo da radim.	У меня много работы.	4	3438758
Imam nekoliko uticajnih prijatelja.	У меня есть несколько влиятельных друзей.	4	3439261
Imam nešto za tebe.	У меня для тебя кое-что есть.	4	3371261
Imam nešto za tebe.	У меня есть кое-что для тебя.	4	3371261
Imam novu e-mail adresu.	У меня новый электронный адрес.	4	3368565
Imam prijatelja u Engleskoj.	У меня есть друг в Англии.	4	3278183
Imam privremenu vozačku dozvolu.	У меня временные водительские права.	4	3279778
Imam samo dvadeset evra.	У меня только двадцать евро.	4	3473436
Imam samo jednu knjigu.	У меня только одна книга.	4	4292441
Imamo samo dva dolara.	У нас только два доллара.	4	4967439
Imamo samo dva dolara.	У нас всего два доллара.	4	4967439
Imamo šta nam treba.	У нас есть то, что нам нужно.	4	4261960
Imao sam dobar život.	У меня была хорошая жизнь.	4	3368904
Imao si dug dan.	У тебя был длинный день.	4	3650682
Imate li jeftinijih soba?	У вас есть дешёвые комнаты?	4	665175
Imaš li email adresu?	У тебя есть электронный адрес?	4	3267428
Imaš vremena do ponoći.	У тебя есть время до полуночи.	4	4292419
Imaš šta ti treba.	У тебя есть то, что тебе нужно.	4	4256590
Ispekla mi je tortu.	Она испекла мне торт.	4	3393838
Ispričaću ti jednu priču.	Я расскажу тебе одну историю.	4	3340366
Izgleda da će kiša.	Кажется, будет дождь.	4	3256226
Izgubio sam moj fotoaparat.	Я потерял свой фотоаппарат.	4	3262901
Izgubio sam moj ključ.	Я потерял свой ключ.	4	3350412
Izgubio sam moj sat.	Я потерял свои часы.	4	897694
Izgubio sam moju olovku.	Я потерял свой карандаш.	4	3438994
Izvinite, gde je pošta?	Извините, где почта?	4	3387067
Izvinite, imam jedno pitanje.	Извините, у меня есть один вопрос.	4	3425453
Izvinite, kako se zovete?	Извините, как вас зовут?	4	3391280
Izvinite, nisam Vas razumeo.	Извините, я Вас не понял.	4	3438890
Ja govorim malo engleski.	Я немного говорю по-английски.	4	3418937
Ja idem sa njom.	Я иду с ним.	4	3292501
Ja jedem puno mesa.	Я ем много мяса.	4	4324234
Ja ne mislim tako.	Я так не думаю.	4	3441057
Ja ne volim filmove.	Я не люблю фильмы.	4	3390085
Ja nemam ništa protiv.	Я не имею ничего против.	4	3263137
Ja nemam široke kukove.	У меня бёдра не широкие.	4	3304531
Ja sam Tomova žena.	Я жена Тома.	4	3531361
Ja sam bez posla.	Я без работы.	4	3311706
Ja sam bogat čovek.	Я богатый человек.	4	3284529
Ja sam građanin sveta.	Я гражданин мира.	4	5819525
Ja sam igrač tenisa.	Я теннисист.	4	3298725
Ja sam iz Norveške.	Я из Норвегии.	4	3327906
Ja sam noćna ptica.	Я сова.	4	3387080
Ja sam pio mleko.	Я пил молоко.	4	1181830
Ja sam protiv rata.	Я против войны.	4	3573300
Ja sam slobodan čovek.	Я свободный человек.	4	3426473
Ja sam stanovnik Berlina.	Я житель Берлина.	4	3430954
Ja sam tvoja savest.	Я твоя совесть.	4	3644143
Ja sam u Londonu.	Я в Лондоне.	4	3425854
Ja sam u Rimu.	Я в Риме.	4	6169163
Ja svetu nisam potreban.	Я не нужен миру.	4	3430974
Ja to govorim stalno.	Я говорю это постоянно.	4	5029160
Ja to stalno govorim.	Я это постоянно говорю.	4	5029161
Ja trčim za suncem.	Я бегу за солнцем.	4	3303740
Ja volim mog oca.	Я люблю своего отца.	4	3499732
Ja ću ukloniti dodatak.	Я буду удалять червеобразный отросток.	4	895107
Ja čitam ovu knjigu.	Я читаю эту книгу.	4	3314345
Ja živim u Indoneziji.	Я живу в Индонезии.	4	4292448
Jako mi je žao.	Мне очень жаль.	4	3395232
Je li Tom poludeo?	Том сошёл с ума?	4	4264044
Je li Tom poludeo?	Том тронулся умом?	4	4264044
Je li to ptica?	Это птица?	4	4781363
Jesam li pitala tebe?	Я тебя спрашивала?	4	4449805
Jesam li pitao tebe?	Я тебя спрашивал?	4	4449803
Jesen je vreme izobilja.	Осень — время изобилия.	4	3453819
Jesi li jela nešto?	Ты что-нибудь ела?	4	4292390
Jesi li jeo nešto?	Ты ел что-нибудь?	4	4292389
Jesi li jeo nešto?	Ты что-нибудь ел?	4	4292389
Jesi li pojela nešto?	Ты чего-нибудь поела?	4	4292392
Jesi li pojeo nešto?	Ты чего-нибудь поел?	4	4292391
Jesi li sa Tomom?	Ты с Томом?	4	4238288
Jesmo li svi ovde?	Мы все здесь?	4	4324658
Jesmo li svi tu?	Мы все тут?	4	4324656
Jezik Evrope je prevod.	Язык Европы - перевод.	4	6482073
Još ništa nisam rekao.	Я ещё ничего не сказал.	4	4364000
Jumi ima mnogo knjiga.	У Юми много книг.	4	3380027
Juče je bilo vruće.	Вчера было жарко.	4	3414795
Juče je padala kiša.	Вчера шел дождь.	4	923624
Juče je padao sneg.	Вчера шёл снег.	4	4993451
Juče sam bila srećna.	Вчера я была счастлива.	4	2925864
Kada je to bilo?	Когда это было?	4	3384582
Kada počinje pozorišni komad?	Когда начинается спектакль?	4	3419141
Kada počinje zimski raspust?	Когда начинаются зимние каникулы?	4	5843387
Kada si jutros ustao?	Во сколько ты сегодня утром встал?	4	3440724
Kada si ustao jutros?	Во сколько ты встал сегодня утром?	4	898463
Kada stiže sledeći voz?	Когда прибывает следующий поезд?	4	3386971
Kakav je bio koncert?	Как прошёл концерт?	4	5843380
Kakav jogurt najviše voliš?	Какой йогурт ты больше всего любишь?	4	4781280
Kako je dospelo ovde?	Как я сюда попал?	4	4449813
Kako je na poslu?	Как дела на работе?	4	5843376
Kako je ona izgledala?	Как она выглядела?	4	3495248
Kako je prošao intervju?	Как прошло интервью?	4	3371252
Kako on brzo trči!	Как он быстро бежит!	4	3440826
Kako on brzo trči!	Как он быстро бегает!	4	3440826
Kako se dečak zove?	Как зовут этого мальчика?	4	3478274
Kako se ovo zove?	Как это называется?	4	5843361
Kako si samo veliki!	Какой же ты большой!	4	3247767
Kako si uradila to?	Как ты это сделала?	4	6567902
Kako si uradio to?	Как ты это сделал?	4	6567904
Kako ti je žena?	Как твоя жена?	4	3311744
Kakvu muziku sluša tom?	Какую музыку слушает Том?	4	4507072
Kaži mi gde živiš.	Скажи мне, где ты живёшь.	4	4261883
Kiša je padala danima.	Дождь шёл несколько дней.	4	945339
Kiša pada od utorka.	Дождь идёт со вторника.	4	3425015
Kišna sezona počinje juna.	Сезон дождей начинается в июне.	4	4246593
Klin se klinom izbija.	Клин клином вышибают.	4	6880167
Ključ je na stolu.	Ключ на столе.	4	3340744
Knjiga je na polici.	Книга на полке.	4	4971855
Knjiga je na polici.	Книга лежит на полке.	4	4971855
Knjiga je na stolu.	Книга на столе.	4	2345996
Knjige imaju svoju sudbinu.	У книг есть своя судьба.	4	6947303
Knjige imaju svoju sudbinu.	Книги имеют свою судьбу.	4	6947303
Ko je napisao Hamleta?	Кто написал Гамлета?	4	3311726
Ko je ovaj čovek?	Кто этот человек?	4	488798
Ko kuca na vratima?	Кто стучит в дверь?	4	4248688
Ko kuca na vratima?	Кто стучится в дверь?	4	4248688
Ko si ti zaista?	Кто ты на самом деле?	4	5893984
Ko su ovi ljudi?	Кто эти люди?	4	3429825
Ko su tvoji prijatelji?	Кто твои друзья?	4	5397784
Ko to ne radi?	Кто этого не делает?	4	3650920
Ko to ne radi?	Кто этим не занимается?	4	3650920
Ko će toplu čokoladu?	Кто будет горячий шоколад?	4	3290972
Ko želi toplu čokoladu?	Кто хочет горячего шоколада?	4	3430030
Koja je ovo godina?	Какой это год?	4	3395340
Koja je tvoja knjiga?	Которая книга твоя?	4	3425926
Koja je tvoja knjiga?	Какая книга твоя?	4	3425926
Koje te oko boli?	Какой глаз у тебя болит?	4	665373
Koje ti je ime?	Какое у тебя имя?	4	3317298
Koji je dan sutra?	Какой день завтра?	4	5874138
Koji je danas dan?	Какой сегодня день?	4	3267229
Koji je njegov posao?	Какая у него работа?	4	5919309
Koji je tvoj auto?	Которая машина твоя?	4	4251415
Koji ste film gledali?	Какой фильм вы смотрели?	4	3439096
Koju vrstu umetnosti preferirate?	Какой вид искусства вы предпочитаете?	4	909844
Koliko dugo živiš ovde?	Как давно ты живёшь здесь?	4	5909468
Koliko ima do aerodroma?	Сколько до аэропорта?	4	3393697
Koliko imaš bliskih prijatelja?	Сколько у тебя близких друзей?	4	3292827
Koliko knjiga pročitaš mesečno?	Сколько книг ты читаешь за месяц?	4	3250842
Koliko košta flaša piva?	Сколько стоит бутылка пива?	4	7774257
Koliko košta ovaj foto-aparat?	Сколько стоит этот фотоаппарат?	4	5843355
Koliko košta ovaj kišobran?	Сколько стоит этот зонтик?	4	5843318
Koliko košta ovaj kišobran?	Сколько стоит этот зонт?	4	5843318
Koliko košta ovaj telefon?	Сколько стоит этот телефон?	4	6535541
Koliko košta ovaj šešir?	Сколько стоит эта шляпа?	4	5843357
Koliko nam novca treba?	Сколько нам нужно денег?	4	4781341
Koliko novca nam treba?	Сколько денег нам нужно?	4	4781339
Koliko si velik porastao!	Какой ты большой вырос!	4	931762
Koliko stvarno imaš godina?	Сколько тебе на самом деле лет?	4	5028679
Koliko često dolaziš ovde?	Как часто ты сюда приходишь?	4	3418044
Koliko često koristiš telefon?	Как часто ты пользуешься телефоном?	4	4238282
Konačno sam postao odrastao.	Наконец я стал взрослым.	4	3374228
Kraljevi imaju duge ruke.	У королей длинные руки.	4	3334300
Kravata je veoma lepa.	Галстук очень красив.	4	12682111
Kupio sam nešto odeće.	Я купил кое-что из одежды.	4	3410459
Kuća mi je daleko.	Мой дом далеко.	4	4781371
Latinski je jezik budućnosti!	Латинский — язык будущего!	4	3341495
Latinski je mrtav jezik.	Латынь - мёртвый язык.	4	3341490
Lenjir je ispod knjige.	Линейка под книгой.	4	5294716
Lignit je fosilno gorivo.	Лигнит - это ископаемое топливо.	4	798387
Ljudi se plaše rata.	Люди боятся войны.	4	3265622
Loše sam znao Engleski.	Я плохо знаю английский.	4	3243533
Marija je kupila mikroskop.	Мария купила микроскоп.	4	4434772
Marija je već otišla.	Мария уже ушла.	4	3311352
Marija je već počela.	Мария уже начала.	4	3311351
Marija skoro uvek kasni.	Мария почти всегда опаздывает.	4	3473442
Marija te zaista voli.	Мария тебя действительно любит.	4	3429945
Mario je kupio mikroskop.	Марио купил микроскоп.	4	4434769
Mačka ima dva uva.	У кошки два уха.	4	3313613
