sr	ru	words	top2000	sr_id
Kakav jogurt najviše voliš?	Какой йогурт ты больше всего любишь?	4	0	4781280
Kakav si to čovek!	Что ты за человек!	4	1	5848203
Kako glasi tvoj nadimak?	Какое у тебя прозвище?	4	0	3795220
Kako glasi tvoj nadimak?	Какая у тебя кличка?	4	0	3795220
Kako je dospelo ovde?	Как я сюда попал?	4	0	4449813
Kako je na poslu?	Как дела на работе?	4	1	5843376
Kako je ona izgledala?	Как она выглядела?	4	0	3495248
Kako je prošao intervju?	Как прошло интервью?	4	0	3371252
Kako je prošao test?	Как прошёл тест?	4	1	5847175
Kako on brzo trči!	Как он быстро бежит!	4	0	3440826
Kako on brzo trči!	Как он быстро бегает!	4	0	3440826
Kako se dečak zove?	Как зовут этого мальчика?	4	1	3478274
Kako se ovo zove?	Как это называется?	4	1	5843361
Kako se ti zoveš?	Как тебя зовут?	4	1	468349
Kako se ti zoveš?	Тебя как зовут?	4	1	468349
Kako si divan prijatelj!	Какой ты замечательный друг!	4	1	8862306
Kako si samo veliki!	Какой же ты большой!	4	1	3247767
Kako si uradila to?	Как ты это сделала?	4	1	6567902
Kako si uradio to?	Как ты это сделал?	4	1	6567904
Kako ti je žena?	Как твоя жена?	4	1	3311744
Kako zovete vašeg psa?	Как вы зовёте свою собаку?	4	0	2352616
Kako zovete vašeg psa?	Как зовут вашу собаку?	4	0	2352616
Kakva je vremenska prognoza?	Как прогноз погоды?	4	0	1111594
Kakva je vremenska prognoza?	Какой прогноз погоды?	4	0	1111594
Kakve su vam namere?	Какие у вас намерения?	4	0	3484412
Kakvo je vreme tamo?	Какая там погода?	4	1	1076605
Kakvu muziku sluša tom?	Какую музыку слушает Том?	4	0	4507072
Kaži mi gde živiš.	Скажи мне, где ты живёшь.	4	1	4261883
Kažu, ljubav je slepa.	Говорят, любовь слепа.	4	0	1195479
Kiša je padala danima.	Дождь шёл несколько дней.	4	0	945339
Kiša pada od utorka.	Дождь идёт со вторника.	4	0	3425015
Kišna sezona počinje juna.	Сезон дождей начинается в июне.	4	0	4246593
Klin se klinom izbija.	Клин клином вышибают.	4	0	6880167
Ključ je na stolu.	Ключ на столе.	4	0	3340744
Knjiga je na polici.	Книга на полке.	4	0	4971855
Knjiga je na polici.	Книга лежит на полке.	4	0	4971855
Knjiga je na stolu.	Книга на столе.	4	0	2345996
Knjige imaju svoju sudbinu.	У книг есть своя судьба.	4	0	6947303
Knjige imaju svoju sudbinu.	Книги имеют свою судьбу.	4	0	6947303
Ko brine o deci?	Кто присматривает за детьми?	4	0	1676109
Ko je bio kući?	Кто был дома?	4	1	8894446
Ko je napisao Hamleta?	Кто написал Гамлета?	4	0	3311726
Ko je ovaj čovek?	Кто этот человек?	4	1	488787
Ko je taj čovek?	Кто этот человек?	4	1	493338
Ko je tvoj učitelj?	Кто твой учитель?	4	0	1091400
Ko je uradio to?	Кто это сделал?	4	1	8842637
Ko kuca na vratima?	Кто стучит в дверь?	4	0	4248688
Ko kuca na vratima?	Кто стучится в дверь?	4	0	4248688
Ko si ti zaista?	Кто ты на самом деле?	4	1	5893986
Ko su ovi ljudi?	Кто эти люди?	4	1	3429825
Ko su tvoji prijatelji?	Кто твои друзья?	4	1	5397784
Ko to ne radi?	Кто этого не делает?	4	1	3650920
Ko to ne radi?	Кто этим не занимается?	4	1	3650920
Ko će toplu čokoladu?	Кто будет горячий шоколад?	4	0	3290972
Ko želi toplu čokoladu?	Кто хочет горячего шоколада?	4	0	3430030
Koja je ovo godina?	Какой это год?	4	1	3395340
Koja je tvoja knjiga?	Которая книга твоя?	4	1	3425926
Koja je tvoja knjiga?	Какая книга твоя?	4	1	3425926
Koje te oko boli?	Какой глаз у тебя болит?	4	1	665373
Koje ti je ime?	Какое у тебя имя?	4	1	3317298
Koje ti je ime?	Как твоё имя?	4	1	6974399
Koji je dan sutra?	Какой день завтра?	4	1	5874138
Koji je danas dan?	Какой сегодня день?	4	1	3267229
Koji je njegov posao?	Какая у него работа?	4	1	5919309
Koji je sutra dan?	Какой завтра день?	4	1	5874141
Koji je tvoj auto?	Которая машина твоя?	4	1	4251415
Koji ste film gledali?	Какой фильм вы смотрели?	4	0	3439096
Koju vrstu umetnosti preferirate?	Какой вид искусства вы предпочитаете?	4	0	909844
Kolika vam je plata?	Какая у вас зарплата?	4	0	6369117
Koliko cvetova si kupio?	Сколько цветов ты купил?	4	0	1080446
Koliko dugo si čekao?	Как долго ты ждал?	4	0	1074608
Koliko dugo živiš ovde?	Как давно ты живёшь здесь?	4	1	5909468
Koliko ima do aerodroma?	Сколько до аэропорта?	4	0	3393697
Koliko imaš bliskih prijatelja?	Сколько у тебя близких друзей?	4	0	3292827
Koliko knjiga pročitaš mesečno?	Сколько книг ты читаешь за месяц?	4	0	3250842
Koliko košta flaša piva?	Сколько стоит бутылка пива?	4	0	1048597
Koliko košta ova kamera?	Сколько стоит эта камера?	4	0	6316172
Koliko košta ovaj kišobran?	Сколько стоит этот зонтик?	4	0	5843318
Koliko košta ovaj kišobran?	Сколько стоит этот зонт?	4	0	5843318
Koliko košta ovaj telefon?	Сколько стоит этот телефон?	4	0	6535541
Koliko košta ovaj šešir?	Сколько стоит эта шляпа?	4	0	6316171
Koliko nam novca treba?	Сколько нам нужно денег?	4	1	4781341
Koliko novca nam treba?	Сколько денег нам нужно?	4	1	4781339
Koliko si velik porastao!	Какой ты большой вырос!	4	0	931762
Koliko stvarno imaš godina?	Сколько тебе на самом деле лет?	4	1	5028679
Koliko često dolaziš ovde?	Как часто ты сюда приходишь?	4	0	3418044
Koliko često koristiš telefon?	Как часто ты пользуешься телефоном?	4	0	4238282
Kolumbo je otkrio Ameriku.	Колумб открыл Америку.	4	0	11055423
Konačno sam postao odrastao.	Наконец я стал взрослым.	4	0	3374228
Konferencija će završiti sutra.	Конференция завтра кончится.	4	0	405730
Kontaktna sočiva, može li?	Контактные линзы можно?	4	0	1139268
Kraljevi imaju duge ruke.	У королей длинные руки.	4	0	3334300
Kravata je veoma lepa.	Галстук очень красив.	4	0	12682111
Kupio je par obuće.	Он купил одну пару обуви.	4	0	1266645
Kupio sam nešto odeće.	Я купил кое-что из одежды.	4	0	3410459
Kuća mi je daleko.	Мой дом далеко.	4	1	4781371
Latinski je jezik budućnosti!	Латинский — язык будущего!	4	0	3341495
Latinski je mrtav jezik.	Латынь - мёртвый язык.	4	0	3341490
Lenjir je ispod knjige.	Линейка под книгой.	4	0	5294716
Leukociti su krvne ćelije.	Лейкоциты - это кровяные клетки.	4	0	2051062
Leukociti su krvne ćelije.	Лейкоциты являются кровяными клетками.	4	0	2051062
Lignit je fosilno gorivo.	Лигнит - это ископаемое топливо.	4	0	798387
Ljudi se plaše rata.	Люди боятся войны.	4	0	3265622
Loše sam znao Engleski.	Я плохо знаю английский.	4	0	3243533
Lusi je već telefonirala.	Люси уже позвонила?	4	0	1085940
Mama se iznenadila novostima.	Мама удивилась новостям.	4	0	1178225
Marija je kupila mikroskop.	Мария купила себе микроскоп.	4	0	3547617
Marija je kupila mikroskop.	Мария купила микроскоп.	4	0	4434772
Marija je već otišla.	Мария уже ушла.	4	0	3311352
Marija je već počela.	Мария уже начала.	4	0	3311351
Marija skoro uvek kasni.	Мария почти всегда опаздывает.	4	0	3473442
Marija te zaista voli.	Мария тебя действительно любит.	4	0	3429945
Mario je kupio mikroskop.	Марио купил микроскоп.	4	0	4434769
Matis je poznati slikar.	Матисс - известный художник.	4	0	1835594
Mačka ima dva uva.	У кошки два уха.	4	0	3313613
Mačka je ispod stola.	Кошка под столом.	4	0	3430388
Mačka spava na stolici.	Кошка спит на стуле.	4	0	3285274
Mačka vidi u mraku.	Кошка видит в темноте.	4	0	3248292
Mačke se boje vode.	Кошки боятся воды.	4	0	1054360
Mačke vide u mraku.	Кошки видят в темноте.	4	0	905803
Medvedi su prilično opasni.	Медведи достаточно опасны.	4	0	4250283
Medvedi su veoma opasni.	Медведи очень опасны.	4	0	4250285
Mene vole moji roditelji.	Меня любят мои родители.	4	1	1178181
Meni je ime Bob.	Меня называют Боб.	4	0	1173797
Meni je njega žao.	Мне его жалко.	4	1	3501823
Meta je na vidiku.	Цель на горизонте.	4	0	4246039
Mi ne volimo bolnicu.	Мы не любим больницу.	4	0	1183368
Mi smo iz Francuske.	Мы из Франции.	4	0	6293985
Mi smo iz Rusije.	Мы из России.	4	0	3437783
Mi smo njegovi sinovi.	Мы его сыновья.	4	0	3251041
Mi smo pričali telefonom.	Мы разговаривали по телефону.	4	0	3419045
Mi smo svi srećni.	Мы все счастливы.	4	0	3293183
Mi smo već počeli.	Мы уже начали.	4	1	3395295
Mi verujemo u demokratiju.	Мы верим в демократию.	4	0	3267538
Mi više nismo deca.	Мы уже не дети.	4	1	5028578
Mi volimo da pričamo.	Мы любим говорить.	4	0	1636328
Mi želimo veliku porodicu.	Мы хотим большую семью.	4	1	3300778
Mi živimo blizu mora.	Мы живем рядом с морем.	4	1	8849180
Mislim da imaš grip.	Думаю, у тебя грипп.	4	0	1384480
Mislim da sam debela.	Думаю, я толстая.	4	0	4250441
Mislim da su pogrešili.	Думаю, они ошиблись.	4	0	5034769
Mislim da su srećni.	Думаю, они счастливы.	4	0	5002271
Mislim da te razumem.	Думаю, я тебя понимаю.	4	1	5034770
Mislim da znam zašto.	Думаю, я знаю почему.	4	1	3410518
Mislim da znaš zašto.	Думаю, ты знаешь почему.	4	1	3410499
Mislio sam da spavaš.	Я думал, что ты спишь.	4	1	3439310
Mleko ima kiseo ukus.	У молока кислый вкус.	4	0	1062000
Mnogo ljudi ima san.	У многих людей есть мечта.	4	1	3430915
Mnogo mi je žao.	Мне очень жаль.	4	1	1232283
Mnogo patim za tobom.	Мне тебя очень не хватает.	4	0	1116817
Mnogo vremena je prošlo.	Прошло много времени.	4	1	5028956
Mogu da ti pomognem.	Я могу тебе помочь.	4	1	4449741
Mogu da vas podržim.	Я могу выступить в поддержку.	4	0	1243603
Mogu li da uđem?	Я могу войти?	4	0	6593985
Mogu li da uđem?	Можно войти?	4	0	6593985
Moj brat je idiot.	Мой брат - идиот.	4	1	3302927
Moj brat svira gitaru.	Мой брат играет на гитаре.	4	0	3311737
Moj francuski je sranje.	Мой французский хреновый.	4	0	776533
Moj motocikl je nov.	Мой мотоцикл новый.	4	0	5024376
Moj otac je ostario.	Мой отец постарел.	4	0	3380344
Moj otac je ostario.	Мой отец состарился.	4	0	3380344
Moj pas je srećan.	Моя собака счастлива.	4	1	3470205
Moj pas me gleda.	Моя собака смотрит на меня.	4	1	3470198
Moj pas voli mačke.	Моя собака любит кошек.	4	0	7035801
Moj pas voli mačke.	Мой пёс любит кошек.	4	0	7035801
Moj rođendan se približava.	Приближается мой день рожденья.	4	0	808572
Moj rođendan se približava.	Приближается мой день рождения.	4	0	808572
Moj rođendan se približava.	Мой день рождения приближается.	4	0	808572
Moj sin ima sina.	У моего сына есть сын.	4	1	1183395
Moja majka voli muziku.	Моя мама любит музыку.	4	0	2424525
Moja mati je Grkinja.	Моя мать гречанка.	4	0	4597910
Moja porodica nije bogata.	Моя семья не богатая.	4	0	5396788
Moja sestra je lepa.	Моя сестра красивая.	4	1	3451158
Moja sestra je udovica.	Моя сестра — вдова.	4	0	3244886
Moja soba je svinjac.	Моя комната - настоящий свинарник.	4	0	3386961
Moja supruga je Poljakinja.	Моя супруга — полька.	4	0	1088272
Moja žena mrzi mačke.	Моя жена терпеть не может кошек.	4	0	3266418
Moje cipele su iznošene.	Мои туфли износились.	4	0	3366745
Moje ime je Luis.	Моё имя - Луис.	4	0	3440830
Moje prezime je Vang.	Моя фамилия Ванг.	4	0	1055467
Moji roditelji me vole.	Мои родители меня любят.	4	1	1091150
Moji roditelji su razvedeni.	Мои родители разведены.	4	0	1050449
Moji roditelji su umrli.	Мои родители умерли.	4	0	7037766
Moli ima veliki časovnik.	У Молли большие часы.	4	0	1133564
Molim vas, napišite to.	Пожалуйста, напишите это.	4	0	5848028
Molim vas, uključite televizor.	Пожалуйста, включите телевизор.	4	0	1135368
Moram da to uzmem.	Я должен это взять.	4	1	3365556
Moram da to uzmem.	Я должна это взять.	4	1	3365556
Moram da uhvatim voz.	Я должен сесть на поезд.	4	0	4274674
Moram da uhvatim voz.	Я должна сесть на поезд.	4	0	4274674
Moram da uradim nešto.	Я должен что-то сделать.	4	1	3395185
Moram da zaradim novac.	Я должен заработать денег.	4	0	3484673
Moram da zaradim novac.	Я должна заработать денег.	4	0	3484673
Moramo da se vratimo.	Мы должны вернуться.	4	1	4253880
Moramo da uradimo nešto!	Мы должны что-нибудь сделать!	4	1	3244710
Moramo nešto da uradimo.	Нам нужно кое-что сделать.	4	1	3395298
Moramo nešto da uradimo.	Нам нужно что-нибудь сделать.	4	1	3395298
Moraću da učim sutra.	Завтра я должен буду учиться.	4	0	938781
Moraću da učim sutra.	Завтра я должна буду учиться.	4	0	938781
Moraš da govoriš glasnije.	Ты должен говорить громче.	4	0	4261836
Moraš da govoriš glasnije.	Ты должна говорить громче.	4	0	4261836
Moraš da nam pomogneš.	Ты должен нам помочь.	4	1	3644985
Moraš da nam pomogneš.	Ты должна нам помочь.	4	1	3644985
Moraš da nosiš kacigu.	Ты должен надеть каску.	4	0	3469815
Moraš da se sakriješ.	Ты должен спрятаться.	4	0	3650642
Moraš da se sakriješ.	Ты должна спрятаться.	4	0	3650642
Moraš da uradiš ovo.	Ты должен это сделать.	4	1	3645005
Moraš da uradiš ovo.	Ты должна это сделать.	4	1	3645005
Možemo li ovo kasnije?	Можем ли мы сделать это позже?	4	1	4258715
Možete li da pričate?	Вы можете говорить?	4	0	8810088
Možete li mi pomoći?	Вы можете мне помочь?	4	1	6879905
Možete li to ponoviti?	Не могли бы вы повторить это?	4	0	5848013
Možete li to ponoviti?	Можете ли это повторить?	4	0	5848013
Možete me zvati Bob.	Можете звать меня Боб.	4	0	1059328
Možeš li mi pokazati?	Ты можешь мне показать?	4	1	3244412
Možeš li mi pomoći?	Ты можешь мне помочь?	4	1	3265321
Mrzim nedelju! Odvratan dan!	Ненавижу воскресенье! Отвратительный день!	4	0	4246688
Muškarac sedi pored potoka.	Мужчина сидит за ручьём.	4	0	1117645
Muškarci idu na posao.	Мужчины идут на работу.	4	1	11171702
Na kome spratu stanujete?	На каком этаже вы живёте?	4	0	1189033
Na moru su ostrva.	В море есть острова.	4	0	3664054
Na stolu je pomorandža.	На столе апельсин.	4	0	1080464
Najviše volim ovu knjigu.	Больше всего я люблю эту книгу.	4	1	801030
Napisala je mnogo pesama.	Она написала много песен.	4	0	3288626
Napisao sam pismo Džimu.	Я написал письмо Джиму.	4	0	5566313
Napisao sam ti pismo.	Я написал тебе письмо.	4	1	3341505
Napišite ovde vaše ime.	Вы напишете здесь ваше имя?	4	0	1384482
Napišite svoje ime ovde.	Напишите здесь своё имя.	4	0	4248733
Napravila mi je zvezdu.	Она сделала мне звезду.	4	0	3393837
Napuštamo Japan sutra ujutru.	Я покидаю Японию завтра утром.	4	0	3387083
Nastavi da se trudiš.	Продолжай попытки.	4	0	6535754
Nastavite da se trudite.	Не оставляйте попыток.	4	0	6535756
Nauči da misliš pozitivno!	Учись мыслить позитивно!	4	0	6309096
Naučiću te da pišeš.	Я научу тебя писать.	4	0	4248734
Našao sam mu knjigu.	Я нашёл ему книгу.	4	1	6905692
Naše je vreme ograničeno.	Наше время ограничено.	4	0	3366078
Nažalost, padala je kiša.	К сожалению, шел дождь.	4	0	11055436
Ne boj se ničega.	Не бойся ничего.	4	0	11055376
Ne budite zaspalog mačka.	Не будите спящего кота.	4	0	1714764
Ne cepaj ovu knjigu.	Не трогай эту книгу.	4	0	3547624
Ne diraj moj bicikl.	Не трогай мой велосипед.	4	0	3250632
Ne govori ništa, OK?	Не говори ничего, OK?	4	1	4248502
Ne govori tako brzo.	Не говори так быстро.	4	1	898450
Ne govorim Klingonski jezik.	Я не говорю на клингонском языке.	4	0	3313378
Ne idem sa vama.	Я с вами не пойду.	4	1	665338
Ne idi tako brzo.	Не иди так быстро.	4	1	3250463
Ne mogu da čekam.	Я не могу ждать.	4	1	5806728
Ne mogu čekati zauvek.	Я не могу ждать вечно.	4	1	5806735
Ne moraš da govoriš.	Ты не должен говорить.	4	1	3357178
Ne moraš da govoriš.	Ты не должна говорить.	4	1	3357178
Ne moraš da žuriš.	Ты не должен спешить.	4	0	1195466
Ne moraš da žuriš.	Ты не должна спешить.	4	0	1195466
Ne moraš da žuriš.	Ты не должна торопиться.	4	0	1195466
Ne moraš da žuriš.	Ты не должен торопиться.	4	0	1195466
Ne ostavljaj me samog.	Не оставляй меня одного.	4	0	4967427
Ne ostavljaj me samu.	Не оставляй меня одну.	4	0	4967428
Ne ostavljaš mi izbora.	Ты не оставляешь мне выбора.	4	0	3430959
Ne otvaraj svoju knjigu.	Не открывай свою книгу.	4	0	1054349
Ne pijem žestoko piće.	Я не пью крепкие напитки.	4	0	5628196
Ne pijte mnogo vina!	Не пейте много вина!	4	0	1946208
Ne pipaj plavo dugme.	Не трогай синюю кнопку.	4	0	3395305
Ne podržavam njegove ideje.	Я не поддерживаю его идеи.	4	0	3394625
Ne prevodi ovu rečenicu.	Не переводи это предложение.	4	0	3244744
Ne razumem ovu reč.	Я не понимаю этого слова.	4	1	3061354
Ne razumem ovu reč.	Я не понимаю это слово.	4	1	3061354
Ne treba mi ništa.	Мне ничего не нужно.	4	1	5909492
Ne treba mi zaštita.	Мне не нужна защита.	4	0	3357653
Ne verujem sopstvenim očima.	Не верю глазам своим.	4	0	10001885
Ne verujem ti, Tome.	Я не верю тебе, Том.	4	1	4259855
Ne verujem u sudbinu.	Я не верю в судьбу.	4	0	3350470
Ne verujem u to.	Я в это не верю.	4	1	3494429
Ne volim da pišem.	Я не люблю писать.	4	0	4248698
Ne volim hladno vreme.	Не люблю холодную погоду.	4	1	13876230
Ne volim tople zime.	Я не люблю тёплые зимы.	4	0	3394628
Ne znam dobro Latinski.	Я не силён в латыни.	4	0	3341491
Ne znam gde ću.	Я не знаю, где я буду.	4	1	3440938
Ne znam njeno ime.	Я не знаю её имени.	4	1	899824
Ne znam tu reč.	Я не знаю это слово.	4	1	3357650
Ne znamo naše komšije.	Мы не знаем наших соседей.	4	0	6904259
Ne znamo naše susede.	Мы не знаем наших соседей.	4	0	6904249
Ne živim sa Tomom.	Я не живу с Томом.	4	0	3298946
Ne, ne i ne!	Нет, нет и нет!	4	1	5785693
Nebo je puno zvezda.	Небо полно звёзд.	4	0	3350413
Nedeljom idem u crkvu.	По воскресеньям я хожу в церковь.	4	0	800088
Nedeljom nisam kod kuće.	По воскресеньям меня не бывает дома.	4	0	6975712
Neko je bio ovde.	Кто-то здесь был.	4	1	4976038
Nemam braće i sestara.	У меня нет братьев и сестёр.	4	0	3430870
Nemam gde da živim.	Мне негде жить.	4	1	8931029
Nemam ništa da dodam.	Мне нечего добавить.	4	0	3386932
Nemam želju za tim.	Мне этого не хочется.	4	0	4250578
Nemačka je parlamentarna republika.	Германия — парламентская республика.	4	0	3292499
Nemački nije jednostavan jezik.	Немецкий - не простой язык.	4	0	3535699
Nemaš ženu, zar ne?	У тебя нет жены, не так ли?	4	1	5980248
Nemoj biti tako ljut.	Не будь таким злым.	4	1	907928
Nemoj biti tako ljut.	Не будь таким сердитым.	4	1	907928
Nemoj da gubiš nadu.	Не теряй надежду.	4	0	3317256
Nemoj da ideš prebrzo.	Не иди слишком быстро.	4	0	3357569
Nemoj da me gledaš.	Не смотри на меня.	4	1	3438781
Nemoj da mu veruješ.	Не верь ему.	4	1	3424966
Nemoj da pušiš toliko.	Не кури столько.	4	0	4976108
Nemoj da se ljutiš.	Не злись.	4	0	3424964
Nemoj da se ljutiš.	Не сердись.	4	0	3424964
Nemoj da zatvoriš oči.	Не закрывай глаза.	4	0	3350532
Nensi je iz Londona.	Нэнси из Лондона.	4	0	3374536
Nepoznata mi je melodija.	Мелодия мне незнакома.	4	0	3248394
Neprijatelj je zauzeo tvrđavu.	Враг занял крепость.	4	0	8931048
Neprijatelj je zauzeo tvrđavu.	Враг захватил крепость.	4	0	8931048
Neću da ti smetam.	Я не буду тебе мешать.	4	0	4274715
Nije svaka lampa čarobna.	Не каждая лампа волшебная.	4	0	406473
Nikad ne gledam televiziju.	Я никогда не смотрю телевизор.	4	0	6533007
Nikad ne gubi nadu.	Никогда не теряй надежду.	4	0	5894332
Nikad ne gubimo nadu.	Мы никогда не теряем надежду.	4	0	4967685
Nikad ne reci nikad.	Никогда не говори никогда.	4	1	6148854
Nikad nećemo saznati razlog.	Мы никогда не узнаем причину.	4	1	4981319
Nikad nećemo znati razlog.	Мы никогда не узнаем причину.	4	1	4981320
Nikad nisam volela biologiju.	Я никогда не любила биологию.	4	0	4264052
Nikad nisam voleo biologiju.	Я никогда не любил биологию.	4	0	4264053
Nikad nismo bili ovde.	Мы никогда здесь не были.	4	1	4261956
Nikada nisam imala dečka.	У меня никогда не было парня.	4	1	3361884
Nikada nisam imao devojku.	У меня никогда не было девушки.	4	1	3361883
Nikada nisam video žirafu.	Я никогда не видел жирафа.	4	0	1484544
Nikada nismo imali auto.	У нас никогда не было автомобиля.	4	1	3374226
Niko ga ne vidi.	Никто его не видит.	4	1	8849361
Niko joj nije poverovao.	Никто ей не поверил.	4	0	4308130
Niko joj nije verovao.	Никто ей не верил.	4	0	4308131
Niko ne govori ništa.	Никто ничего не говорит.	4	1	8880542
Niko ne voli rat.	Никто не любит войну.	4	1	3287634
Niko ne zna ništa.	Никто ничего не знает.	4	1	3387040
Niko nije ništa rekao.	Никто ничего не сказал.	4	1	6147438
Nisam dobar u sportovima.	Я не силён в спорте.	4	0	3425856
Nisam glasao za Toma.	Я не голосовал за Тома.	4	0	6900268
Nisam mogao da govorim.	Я не мог говорить.	4	1	3412936
Nisam mogla da spavam.	Я не могла спать.	4	1	1261853
Nisam spavao dva dana.	Я два дня не спал.	4	1	1056899
Nisam spavao dva dana.	Я не спал два дня.	4	1	1056899
Nisam te video tamo.	Я тебя там не видел.	4	1	3380010
Nisam znao odakle sam.	Я не знал, откуда я.	4	1	3292862
Nisam čitao tu knjigu.	Я не читал ту книгу.	4	0	3374231
Nisi mu ništa rekao?	Ты ему ничего не сказал?	4	1	3371624
Nisi odgovorio na pitanje.	Ты не ответил на вопрос.	4	0	6954537
Nisi rekao ništa loše.	Ты не сказал ничего плохого.	4	1	4258309
Nisi rekla ništa loše.	Ты не сказала ничего плохого.	4	1	4258310
Nismo imali ništa zajedničkog.	У нас не было ничего общего.	4	0	3465649
Nisu svi bili dečaci.	Не все были мальчиками.	4	0	4250322
Ništa mu nisi rekao?	Ты ничего ему не сказал?	4	1	3265634
Ništa nisam rekla Tomu.	Я ничего не сказала Тому.	4	0	5619107
Njegov bicikl je plav.	У него синий велосипед.	4	0	3288342
Njegov bicikl je plav.	Его велосипед синий.	4	0	3288342
Njegov posao brzo raste.	Его бизнес быстро растёт.	4	0	1081751
Njegova je, zar ne?	Это его, не так ли?	4	1	13395078
Njegova majka je Jugoslovenka.	Его мать югославка.	4	0	3486165
Njegova supruga je Japanka.	Его супруга - японка.	4	0	1498206
Njegovo detence ima temperaturu.	У его ребёночка температура.	4	0	1183361
Njen muž je Amerikanac.	Её муж — американец.	4	0	8106589
Njene oči su plave.	Её глаза голубые.	4	0	1084662
Njujork je veliki grad.	Нью-Йорк - большой город.	4	0	6954498
Norveška me je iznenadila.	Норвегия удивила меня.	4	0	3650896
Norveška me je iznenadila.	Норвегия меня удивила.	4	0	3650896
Nosorog je veoma velik.	Носорог очень большой.	4	0	843988
Novac je na stolu.	Деньги на столе.	4	0	3246440
Novac nije kriterijum uspeha.	Деньги - не критерий успеха.	4	0	5588858
Novca je bilo dovoljno.	Денег было достаточно?	4	1	1835593
Noć je. Porodica večera.	Ночь. Семья ужинает.	4	0	3438851
O čemu on priča?	О чём он говорит?	4	1	1133591
O, kako je kasno!	Ой, как поздно!	4	1	396980
Oba brata su muzičari.	Оба брата - музыканты.	4	0	3243501
Obe sestre su plavuše.	Обе сестры - блондинки.	4	0	3298570
Obično nisam kući ponedeljkom.	По понедельникам меня обычно не бывает дома.	4	0	4250313
Oboje su dobri studenti.	Они оба хорошие студенты.	4	0	1181850
Odgodićemo razgovor za sutra.	Давай отложим разговор до завтра.	4	0	6918141
Odlučiću šta da radim.	Я решу, что делать.	4	0	5049806
Oko je ogledalo duše.	Глаза — зеркало души.	4	0	1243507
Olovka je na knjizi.	Карандаш лежит на книге.	4	0	5294678
On dobro igra fudbal.	Он хорошо играет в футбол.	4	0	3313457
On dobro zna Engleski.	Он хорошо знает английский.	4	0	3263566
On ima bujnu maštu.	У него богатая фантазия.	4	0	3291257
On ima dobar ugled.	У него хорошая репутация.	4	0	3369417
On ima dobro pamćenje.	У него хорошая память.	4	0	3369420
On ima dobro srce.	У него доброе сердце.	4	1	6791479
On ima dobru memoriju.	У него хорошая память.	4	0	3369422
On ima dubok glas.	У него низкий голос.	4	0	3369425
On ima dugačak nos.	У него длинный нос.	4	0	3369411
On ima dva automobila.	У него два автомобиля.	4	0	6918453
On ima dvoje kola.	У него две машины.	4	1	6918459
On ima interesantnu knjigu.	У него есть интересная книга.	4	0	3369415
On ima japanski auto.	У него японский автомобиль.	4	0	3369413
On ima jedanaest godina.	Ему одиннадцать лет.	4	0	3430518
On ima kameno srce.	У него каменное сердце.	4	0	1636371
On ima malo novca.	У него мало денег.	4	1	1050490
On ima nekoliko prijatelja.	У него есть несколько друзей.	4	1	3369424
On ima osam godina.	Ему восемь лет.	4	1	8842744
On ima plavu kosu.	У него светлые волосы.	4	0	1072141
On ima slabo srce.	У него слабое сердце.	4	0	3369629
On ima tri sina.	У него три сына.	4	1	3311587
On ima trideset godina.	Ему тридцать лет.	4	0	3391251
On ima troje dece.	У него трое детей.	4	1	3245362
On ima veliku porodicu.	У него большая семья.	4	1	3334341
On je bio besan.	Он был в бешенстве.	4	0	3434514
On je ispustio dušu.	Он испустил дух.	4	0	6952694
On je iz Francuske.	Он из Франции.	4	0	3327290
On je moj brat.	Он мой брат.	4	1	3244095
On je moj drug.	Он мой друг.	4	0	490782
On je mrmljao nešto.	Он что-то пробормотал.	4	0	3303391
On je na brodu.	Он на корабле.	4	1	1200554
On je na sastanku.	Он на встрече.	4	0	3244017
On je nečim zauzet.	Он чем-то занят.	4	0	1127258
On je njen otac.	Он её отец.	4	1	1179895
On je ogledni voditelj.	Он опытный водитель.	4	0	1251316
On je otvorio kovertu.	Он открыл конверт.	4	0	10042455
On je otvorio usta.	Он открыл рот.	4	0	3267678
On je otvorio vrata.	Он открыл дверь.	4	0	3494419
On je otvorio vrata.	Он отворил ворота.	4	0	3494419
On je otvorio vrata.	Он открыл ворота.	4	0	3494419
On je oženio glumicu.	Он женился на актрисе.	4	0	3331262
On je pio pivo.	Он пил пиво.	4	0	3281287
On je pod anestezijom.	Он под анестезией.	4	0	3291881
On je potpuni monarh.	Он абсолютный монарх.	4	0	6769577
On je razbio prozor.	Он разбил окно.	4	0	3440811
On je sada prehlađen.	Он сейчас простывший.	4	0	3369426
On je sefardski Jevrejin.	Он сефардский еврей.	4	0	2755268
On je strpljiv čovek.	Он терпеливый человек.	4	0	3414421
On je takav uvek.	Он такой всегда.	4	1	1153348
On je veoma živahan.	Он очень подвижный.	4	0	1402123
On joj se sviđa.	Он ей нравится.	4	1	3387263
On ljušti svoju jabuku.	Он чистит своё яблоко.	4	0	3384564
On misli svojom glavom.	Он думает своей головой.	4	0	7364332
On mnogo voli fudbal.	Он очень любит футбол.	4	0	4992726
On mnogo voli muziku.	Он очень любит музыку.	4	0	3245270
On mora dati otkaz.	Он должен дать ответ.	4	1	1079500
On nam se sviđa.	Он нам нравится.	4	1	3000072
On nije nosio šešir.	Он не носил шляпу.	4	0	3369705
